Loan ID,Origination Date,Purchase Date,Loan_Segment,FICO_Range,Region,Gender,Employment_Type,Market_Channel
131223,1/15/2020,2/11/2022,Debt Consolidation,700-750,Mid West,Male,Other,Phone
971875,12/30/2021,1/3/2022,Debt Consolidation,>750,Mid West,Male,Self-Employed,Online
112774,12/30/2021,1/3/2022,Debt Consolidation,>750,Mid West,Male,Full-Time,Email-Campaign
659070,1/10/2022,1/13/2022,Debt Consolidation,<625,East,Male,Full-Time,Online
399956,12/29/2021,1/3/2022,Debt Consolidation,650-700,North West,Male,Full-Time,Phone
755601,1/13/2022,1/18/2022,Debt Consolidation,<625,West,Male,Other,Online
857774,12/29/2021,1/3/2022,Debt Consolidation,>750,South,Male,Self-Employed,Online
308046,1/4/2022,1/7/2022,Debt Consolidation,<625,Mid West,Male,Part-Time,Phone
785929,12/29/2021,1/3/2022,Debt Consolidation,<625,South,Male,Full-Time,Email-Campaign
406330,12/30/2021,1/3/2022,Debt Consolidation,625-650,North West,Male,Part-Time,Online
249733,1/3/2022,1/6/2022,Debt Consolidation,<625,South,Male,Full-Time,Phone
490668,1/11/2022,1/14/2022,Debt Consolidation,>750,West,Male,Other,Online
58310,12/30/2021,1/3/2022,Debt Consolidation,650-700,South,Male,Part-Time,Email-Campaign
956189,12/29/2021,1/3/2022,Debt Consolidation,625-650,West,Male,Part-Time,Online
235560,12/29/2021,1/3/2022,Debt Consolidation,650-700,South,Male,Self-Employed,Email-Campaign
593834,12/30/2021,1/3/2022,Debt Consolidation,>750,Mid West,Male,Full-Time,Email-Campaign
690455,12/30/2021,1/3/2022,Debt Consolidation,625-650,Mid West,Male,Self-Employed,Email-Campaign
775698,12/31/2021,1/3/2022,Debt Consolidation,>750,South,Male,Self-Employed,Email-Campaign
55342,12/31/2021,1/3/2022,Debt Consolidation,<625,North West,Male,Part-Time,Online
460266,12/29/2021,1/3/2022,Debt Consolidation,700-750,East,Male,Other,Phone
188021,1/14/2022,1/18/2022,Debt Consolidation,>750,South,Male,Other,Email-Campaign
190484,1/7/2022,1/10/2022,Debt Consolidation,650-700,West,Male,Full-Time,Phone
980445,12/29/2021,1/3/2022,Debt Consolidation,>750,East,Male,Full-Time,Phone
229468,12/31/2021,1/3/2022,Debt Consolidation,<625,South,Male,Part-Time,Phone
512439,1/6/2022,1/10/2022,Debt Consolidation,625-650,East,Male,Other,Email-Campaign
205406,12/30/2021,1/3/2022,Debt Consolidation,650-700,West,Male,Self-Employed,Email-Campaign
